message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,General announcement from verified business account,0.85,message_0102;message_0243;message_0101
msg_091,notify,urgent,Direct personal communication with urgent security/payment alert,0.95,message_0238;message_0381
msg_090,digest,personal,Non-urgent personal inquiry,0.85,none
msg_048,notify,urgent,Urgent security/payment alert from verified admin account,0.95,message_0237;message_0151;message_0152
msg_040,digest,forward,Low-value promotion forwarded to family group,0.85,message_0136;message_0135
msg_075,digest,event,General ride update from verified Grab account,0.85,message_0206;message_0205
msg_005,notify,personal,Direct personal communication with urgent request,0.95,message_0066;message_0332;message_0114
msg_104,notify,personal,Direct personal communication from a verified sender,0.95,message_0383;message_0116;message_0115
msg_069,digest,greeting,General greeting message from a group member,0.8,message_0193;message_0247;message_0079
msg_107,notify,urgent,Direct personal communication with high priority,1.0,message_0214;message_0045;message_0173
msg_070,notify,urgent,Urgent security alert from verified account,0.95,message_0214;message_0045;message_0173
msg_003,digest,business_update,Useful business update from verified account,0.95,message_0267;message_0062;message_0061
msg_099,digest,business_update,General business update from a trusted sender,0.85,message_0362;message_0117;message_0249
msg_008,digest,business_update,Low-value business update from verified account,0.8,message_0296;message_0071;message_0072
msg_092,digest,business_update,Useful business update from verified account,0.85,none
msg_060,digest,event,General announcement from a verified group,0.85,message_0284;message_0176;message_0375
msg_004,digest,business_update,Useful update from a verified business account,0.95,message_0245;message_0063;message_0005
msg_030,digest,promotion,Low-value promotion from a verified marketplace group,0.85,message_0383;message_0116;message_0115
msg_045,notify,personal,Direct personal communication with urgent request,0.95,message_0146;message_0145
msg_052,digest,business_update,"Low-value business update from verified account, no immediate action required",0.85,message_0207;message_0208;message_0160
msg_009,digest,event,General announcement from a group member,0.85,message_0073;message_0074
msg_071,digest,personal,"Low-value personal update with unclear timing, not requiring immediate action",0.8,message_0197;message_0198
msg_016,mute,scam,Security safety override: Automated scam detection enforced mute rule.,0.95,message_0088;message_0024;message_0183
msg_065,notify,promotion,Urgent shopping benefit notification from verified business account,0.85,message_0185;message_0186;message_0261
msg_038,notify,urgent,Urgent security/payment alert from verified account,0.85,message_0131;message_0132
msg_086,digest,event,"Voice note from verified business account, no immediate action required",0.85,message_0222
msg_014,mute,promotion,Low-value promotion from a business account with a history of similar messages,0.95,message_0018;message_0017;message_0084
msg_094,digest,promotion,Low-value promotion from verified business account,0.85,none
msg_029,digest,event,Low-value promotion from verified marketplace group,0.85,message_0066;message_0332;message_0114
msg_105,digest,forward,Low-value promotion forwarded multiple times,0.85,message_0373;message_0233
msg_002,notify,personal,Urgent personal request from verified account,0.95,message_0230;message_0266;message_0169
msg_010,digest,business_update,General announcement from a verified business account.,0.85,message_0076;message_0075;message_0242
msg_078,notify,urgent,Urgent security/payment alert from verified account,0.95,message_0211;message_0212
msg_013,digest,promotion,Low-value promotion from a non-verified sender,0.8,message_0081;message_0082
msg_018,mute,promotion,Low-value promotion with potential phishing attempt,0.85,message_0092;message_0091
msg_044,notify,urgent,Urgent security alert from verified account,0.95,message_0144;message_0036;message_0143
msg_032,digest,event,"General announcement from a group member, not urgent or requiring immediate action.",0.85,message_0374;message_0119;message_0285
msg_106,notify,event,Urgent event update from a verified sender,0.95,message_0377;message_0376;message_0234
msg_006,digest,business_update,Low-value business update from verified group,0.85,message_0410;message_0269;message_0180
msg_109,notify,urgent,Direct communication from trusted admin,0.95,message_0237;message_0151;message_0152
msg_108,notify,urgent,Direct personal communication from verified business with high user priority,0.95,message_0094;message_0236;message_0093
msg_019,notify,urgent,Direct personal communication with urgent security alert from verified account,0.95,message_0094;message_0236;message_0093
msg_088,digest,event,"Voice note from a group member, not requiring immediate action",0.8,message_0383;message_0116;message_0115
msg_056,notify,personal,Urgent personal request from verified account,0.95,message_0167;message_0054;message_0225
msg_027,mute,promotion,Low-value promotion from unverified sender,0.85,message_0007;message_0110;message_0109
msg_050,digest,business_update,General announcement from a verified business account,0.85,message_0155;message_0279;message_0156
msg_083,digest,event,Low-value message with no urgent or time-sensitive content,0.85,message_0219
msg_063,notify,urgent,Urgent payment alert from verified account,0.95,message_0181;message_0182
msg_033,digest,personal,Low-value personal update from a trusted sender,0.85,message_0409;message_0122;message_0280
msg_061,notify,greeting,Direct personal communication from a verified user.,0.95,message_0193;message_0247;message_0079
msg_020,notify,urgent,Urgent security/payment alert from verified account,0.95,message_0095;message_0096
msg_017,notify,urgent,Urgent security/payment alert from verified account,0.95,message_0090;message_0089
msg_058,digest,forward,Low-value promotion forwarded to family group,0.85,message_0172;message_0077;message_0040
msg_026,notify,business_update,Urgent delivery update from verified Amazon Delivery Support,0.85,message_0107;message_0108;message_0032
msg_047,digest,event,General announcement from a verified group member,0.85,message_0410;message_0269;message_0180
msg_046,mute,scam,Security safety override: Automated scam detection enforced mute rule.,0.95,message_0148;message_0147
msg_042,notify,urgent,Urgent security alert from verified account,0.95,message_0240;message_0139;message_0140
msg_079,notify,urgent,Urgent security alert from verified account,0.95,message_0214;message_0045;message_0173
msg_098,notify,personal,Urgent personal request from a verified contact,0.95,message_0167;message_0054;message_0225
msg_037,notify,urgent,Urgent security notice from verified admin in a group the user is actively engaged with,0.95,message_0410;message_0269;message_0180
msg_007,digest,event,General announcement from a verified group,0.85,message_0070;message_0069
msg_085,digest,unknown,Unable to determine message type due to lack of text content,0.0,message_0221
msg_001,notify,urgent,Urgent security/payment alert from verified account,0.95,message_0240;message_0139;message_0140
msg_021,notify,payment,Urgent payment alert from verified account,0.95,message_0410;message_0269;message_0180
msg_028,digest,promotion,Low-value promotion from a known business,0.85,message_0034;message_0111;message_0112
msg_012,mute,forward,Low-value promotion and repetitive forward from unverified sender,0.85,message_0193;message_0247;message_0079
msg_064,notify,payment,Urgent payment alert from verified account,0.95,message_0088;message_0024;message_0183
msg_103,notify,personal,Direct personal communication from a verified account,0.95,message_0066;message_0332;message_0114
msg_031,notify,urgent,Urgent request from verified sender with high priority task,0.95,message_0362;message_0117;message_0249
msg_057,notify,personal,Direct personal communication from a verified account with urgent request,0.95,message_0230;message_0266;message_0169
msg_087,digest,unknown,Unable to determine message type due to missing text content,0.0,message_0358;message_0203;message_0391
msg_067,digest,business_update,Maintenance payment reminder from verified admin in a group the user is an admin of,0.85,message_0410;message_0269;message_0180
msg_039,notify,personal,Direct personal communication from a verified account with a time-sensitive request,0.95,message_0255;message_0403;message_0134
msg_082,digest,event,"Voice note from a group member, not requiring immediate action",0.8,message_0218;message_0380;message_0397
msg_066,digest,promotion,Low-value promotion from verified business account,0.85,message_0187;message_0188
msg_049,digest,business_update,Low-value update from verified business account,0.8,message_0153;message_0291;message_0154
msg_015,notify,urgent,Urgent security alert from verified account,0.95,message_0200;message_0085;message_0086
msg_051,digest,business_update,Low-value promotion from verified business account,0.85,message_0104;message_0158;message_0103
msg_097,digest,personal,"Low-value personal update, no urgent action required",0.85,message_0167;message_0054;message_0225
msg_089,notify,personal,Direct personal communication from a verified account,0.95,none
msg_053,digest,event,Useful update from a trusted group with no urgent action required,0.95,message_0161;message_0162;message_0411
msg_059,notify,urgent,Urgent security/payment alert from verified account,0.95,message_0214;message_0045;message_0173
msg_024,digest,business_update,Low-value promotion from verified business account,0.85,message_0104;message_0158;message_0103
msg_072,notify,urgent,Urgent security/payment alert from verified account,0.95,message_0200;message_0085;message_0086
msg_036,digest,business_update,"Low-value business update from verified account, not requiring immediate action",0.8,message_0127;message_0128;message_0283
msg_076,digest,business_update,Low-value refund update from a verified business,0.85,message_0207;message_0208;message_0160
msg_055,notify,personal,Urgent personal request from verified contact,0.95,message_0166;message_0387;message_0165
msg_102,digest,event,Useful update from a trusted sender,0.95,message_0230;message_0266;message_0169
msg_080,notify,urgent,Urgent security alert from verified admin in a group the user is actively engaged with.,0.95,message_0410;message_0269;message_0180
msg_093,digest,business_update,General delivery update from verified FedEx account,0.85,none
msg_034,digest,greeting,General greeting message from a known sender.,0.85,message_0172;message_0077;message_0040
msg_035,digest,business_update,Low-value promotion from verified business account,0.85,message_0125;message_0126;message_0281
msg_101,digest,personal,Useful update from a frequent sender within the user's DnD window,0.85,message_0268;message_0370;message_0229
msg_041,digest,business_update,General announcement from a verified business account.,0.85,message_0138;message_0137
msg_011,digest,greeting,General announcement from a verified group member,0.85,message_0172;message_0077;message_0040
msg_110,notify,urgent,"Urgent security alert from verified sender, requires immediate action.",0.95,message_0238;message_0381
msg_095,notify,payment,Direct payment alert from verified account,0.95,message_0088;message_0024;message_0183
msg_074,mute,promotion,Low-value promotion from unverified sender,0.85,message_0358;message_0203;message_0391
msg_073,notify,urgent,Urgent security alert from verified account requiring immediate action,0.95,message_0088;message_0024;message_0183
msg_054,notify,urgent,Urgent loan approval notification with time-sensitive action required,0.95,message_0358;message_0203;message_0391
msg_068,digest,event,Low-urgency group event announcement,0.85,message_0191;message_0192
msg_100,notify,urgent,Direct personal communication with urgent request for immediate action,0.95,message_0362;message_0117;message_0249
msg_062,digest,event,General announcement from a verified group with no immediate action required,0.85,message_0410;message_0269;message_0180
msg_096,notify,greeting,Personal communication from a verified account,0.95,none
msg_043,digest,forward,Low-value promotion from verified admin in a group the user is an active admin of,0.85,message_0410;message_0269;message_0180
msg_077,digest,event,School announcement with general information about a field trip.,0.85,message_0255;message_0403;message_0134
msg_081,digest,event,"Voice note from a group member, not requiring immediate action",0.8,message_0217
msg_025,digest,business_update,Safe business update from verified account,0.95,message_0106;message_0239;message_0004
msg_084,digest,unknown,"Audio message without text content, cannot determine message type",0.5,message_0220
msg_022,notify,payment,Urgent payment reminder from verified account,0.95,message_0099;message_0100
